report_id,name,description,category,price_usd,price_cents,currency,is_free,is_published
"brutal-blueprint","THE BRUTAL BLUEPRINT™","Your chart without the comfort layer.","Unfiltered Series",99.00,9900,usd,false,true
"unspoken-contract","THE UNSPOKEN CONTRACT™","The deal you never signed but keep living by.","Unfiltered Series",99.00,9900,usd,false,true
"ambition-autopsy","THE AMBITION AUTOPSY™","What you want, what you settle for, and what costs you.","Unfiltered Series",99.00,9900,usd,false,true
"self-sabotage-file","THE SELF-SABOTAGE FILE™","The pattern that keeps interrupting your own progress.","Unfiltered Series",99.00,9900,usd,false,true
"mirror-you-avoid","THE MIRROR YOU AVOID™","The version of you that exists when nobody is watching.","Unfiltered Series",99.00,9900,usd,false,true
"shadow-ledger","THE SHADOW LEDGER™","What you carry that never shows on the surface.","Unfiltered Series",99.00,9900,usd,false,true
"inner-courtroom","THE INNER COURTROOM™","The case you keep arguing against yourself.","Unfiltered Series",99.00,9900,usd,false,true
"pattern-that-wont-die","THE PATTERN THAT WON'T DIE™","The cycle that returns until you face it.","Unfiltered Series",99.00,9900,usd,false,true
"relationship-crime-scene","THE RELATIONSHIP CRIME SCENE™","Something happened between you. Your charts may explain what.","Unfiltered Series",99.00,9900,usd,false,true
"chemistry-autopsy","THE CHEMISTRY AUTOPSY™","Desire under the microscope — what pulls and what burns.","Unfiltered Series",99.00,9900,usd,false,true
"power-struggle","THE POWER STRUGGLE™","Who holds the leverage when two charts collide.","Unfiltered Series",99.00,9900,usd,false,true
"unfinished-business","THE UNFINISHED BUSINESS™","What was left open between you and why it still pulls.","Unfiltered Series",99.00,9900,usd,false,true
"attraction-trap","THE ATTRACTION TRAP™","The chemistry that feels inevitable and the cost of it.","Unfiltered Series",99.00,9900,usd,false,true
"things-we-wont-say","THE THINGS WE WON'T SAY™","The silences that shape the relationship more than the words.","Unfiltered Series",99.00,9900,usd,false,true
"breaking-point","THE BREAKING POINT™","Where the dynamic snaps — and what could still be repaired.","Unfiltered Series",99.00,9900,usd,false,true
"identity-collapse","THE IDENTITY COLLAPSE™","When the self you built no longer fits who you are.","Unfiltered Series",99.00,9900,usd,false,true
"excuse-machine","THE EXCUSE MACHINE™","Every rationalization your chart helps you invent.","Unfiltered Series",99.00,9900,usd,false,true
"power-bill","THE POWER BILL™","What your influence costs you and everyone near you.","Unfiltered Series",99.00,9900,usd,false,true
"cosmic-cross-examination","THE COSMIC CROSS-EXAMINATION™","Your chart on the stand. No leading the witness.","Unfiltered Series",99.00,9900,usd,false,true
"final-mirror","THE FINAL MIRROR™","The last honest look before you choose what changes.","Unfiltered Series",99.00,9900,usd,false,true
